Date,Value
2009-09-30,3034.6
2009-10-31,3253.9
2009-11-30,3184.2
2009-12-31,3333.5
2010-01-31,3345.3
2010-02-28,3047.4
2010-03-31,2861.7
2010-04-30,3015.4
2010-05-31,2967.6
2010-06-30,2977.0
2010-07-31,2995.2
2010-08-31,2867.4
2010-09-30,2725.0
2010-10-31,2814.4
2010-11-30,2783.6
2010-12-31,2964.4
2011-01-31,3086.4
2011-02-28,3448.1
2011-03-31,3371.7
2011-04-30,3108.1
2011-05-31,3050.6
2011-06-30,2977.3
2011-07-31,3112.3
2011-08-31,2979.9
2011-09-30,2798.7
2011-10-31,2636.9
2011-11-30,2422.1
2011-12-31,2090.4
2012-01-31,2267.1
2012-02-29,2325.4
2012-03-31,2330.1
2012-04-30,2223.3
2012-05-31,2256.5
2012-06-30,2184.2
2012-07-31,2265.5
2012-08-31,2470.1
2012-09-30,2589.4
2012-10-31,2409.3
2012-11-30,2464.9
2012-12-31,2389.7
2013-01-31,2234.7
2013-02-28,2168.1
2013-03-31,2121.6
2013-04-30,2260.0
2013-05-31,2311.3
2013-06-30,2258.8
2013-07-31,2273.9
2013-08-31,2424.8
2013-09-30,2574.3
2013-10-31,2698.1
2013-11-30,2722.7
2013-12-31,2784.5
2014-01-31,2756.0
2014-02-28,2918.7
2014-03-31,2968.6
2014-04-30,2967.7
2014-05-31,2944.2
2014-06-30,3100.7
2014-07-31,3141.8
2014-08-31,3216.6
2014-09-30,3184.8
2014-10-31,3061.1
2014-11-30,2872.5
2014-12-31,2937.0
2015-01-31,2877.0
2015-02-28,2922.1
2015-03-31,2875.4
2015-04-30,2828.9
2015-05-31,3038.3
2015-06-30,3200.1
2015-07-31,3279.7
2015-08-31,3094.8
2015-09-30,3236.6
2015-10-31,3134.0
2015-11-30,3305.7
2015-12-31,3290.8
2016-01-31,2894.5
2016-02-29,2846.5
2016-03-31,3001.5
2016-04-30,3001.4
2016-05-31,3011.7
2016-06-30,3104.9
2016-07-31,3018.2
2016-08-31,3001.4
2016-09-30,2857.5
2016-10-31,2732.4
2016-11-30,2477.6
2016-12-31,2268.0
2017-01-31,2181.2
2017-02-28,2014.8
2017-03-31,2050.9
2017-04-30,1940.6
2017-05-31,1961.4
2017-06-30,1930.8
2017-07-31,1912.8
2017-08-31,1963.1
2017-09-30,1989.8
2017-10-31,2086.0
2017-11-30,2122.4
2017-12-31,1905.8
2018-01-31,1940.5
2018-02-28,2101.1
2018-03-31,2506.0
2018-04-30,2666.8
2018-05-31,2698.2
2018-06-30,2422.0
2018-07-31,2368.4
2018-08-31,2185.2
2018-09-30,2238.9
2018-10-31,2138.9
2018-11-30,2188.4
2018-12-31,2231.7
2019-01-31,2303.8
2019-02-28,2249.8
2019-03-31,2201.8
2019-04-30,2376.0
2019-05-31,2371.5
2019-06-30,2483.8
2019-07-31,2469.4
2019-08-31,2196.7
2019-09-30,2346.9
2019-10-31,2465.9
2019-11-30,2612.7
2019-12-31,2545.2
2020-01-31,2667.4
2020-02-29,2865.7
2020-03-31,2450.3
2020-04-30,2327.6
