0	0	1.54603	0	18.8759
0	1	3.08845	0	12.3986
0	2	4.62365	0	12.125
0	3	6.14805	0	11.7506
0	4	7.6581	0	11.2837
0	5	9.15026	0	10.7345
0	6	10.6211	0	10.1148
0	7	12.067	0	9.43772
0	8	13.4848	0	8.71722
0	9	14.8711	0	7.96766
0	10	16.2227	0	7.20343
0	11	17.5364	0	6.43855
0	12	18.8091	0	5.68625
0	13	20.0379	0	4.95865
0	14	21.2199	0	4.26643
0	15	22.3524	0	3.61859
0	16	23.4326	0	3.0223
0	17	24.4581	0	2.48275
0	18	25.4265	0	2.00315
0	19	26.3355	0	1.58473
0	20	27.183	0	1.2269
0	21	27.967	0	0.927381
0	22	28.6857	0	0.68245
0	23	29.3374	0	0.487223
0	24	29.9205	0	0.335961
0	25	30.4338	0	0.222407
0	26	30.876	0	0.140131
0	27	31.2461	0	0.0828676
0	28	31.5432	0	0.0448389
0	29	31.7667	0	0.0210411
0	30	31.9159	0	0.00749246
0	31	31.9907	0	0.00142677
0	32	31.9907	0	0.00142677
0	33	31.9159	0	0.00749246
0	34	31.7667	0	0.0210411
0	35	31.5432	0	0.0448389
0	36	31.2461	0	0.0828676
0	37	30.876	0	0.140131
0	38	30.4338	0	0.222407
0	39	29.9205	0	0.335961
0	40	29.3374	0	0.487223
0	41	28.6857	0	0.68245
0	42	27.967	0	0.927381
0	43	27.183	0	1.2269
0	44	26.3355	0	1.58473
0	45	25.4265	0	2.00315
0	46	24.4581	0	2.48275
0	47	23.4326	0	3.0223
0	48	22.3524	0	3.61859
0	49	21.2199	0	4.26643
0	50	20.0379	0	4.95865
0	51	18.8091	0	5.68625
0	52	17.5364	0	6.43855
0	53	16.2227	0	7.20343
0	54	14.8711	0	7.96766
0	55	13.4848	0	8.71722
0	56	12.067	0	9.43772
0	57	10.6211	0	10.1148
0	58	9.15026	0	10.7345
0	59	7.6581	0	11.2837
0	60	6.14805	0	11.7506
0	61	4.62365	0	12.125
0	62	3.08845	0	12.3986
0	63	1.54603	0	18.8759

1	0	1.45024	-0.17498	14.8338
1	1	2.89822	-0.347781	9.84283
1	2	4.34168	-0.516248	9.77149
1	3	5.77834	-0.678269	9.66819
1	4	7.20586	-0.831799	9.52985
1	5	8.62188	-0.974884	9.35296
1	6	10.024	-1.10568	9.13391
1	7	11.4096	-1.22249	8.86938
1	8	12.7763	-1.32378	8.55666
1	9	14.1213	-1.40819	8.19412
1	10	15.4419	-1.4746	7.78149
1	11	16.7353	-1.52213	7.32025
1	12	17.9985	-1.55016	6.81384
1	13	19.2285	-1.55841	6.26781
1	14	20.4222	-1.54688	5.68983
1	15	21.5763	-1.51597	5.08958
1	16	22.6875	-1.46645	4.47845
1	17	23.7525	-1.39947	3.86909
1	18	24.7677	-1.3166	3.27482
1	19	25.7298	-1.21983	2.70885
